"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant Price","Variant Compare At Price","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Requires Shipping","Variant Taxable","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description"
"permanent-venom","Permanent Venom","","Bloxhop","Permanent Fruits","Digital Product","blox-fruits, Permanent Fruits","TRUE","Title","Default Title","23.37","30.63","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Venom.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9WZW5vbS53ZWJwIiwiaWF0IjoxNzc1NDk0MDQzLCJleHAiOjE4MDcwMzAwNDN9.zy5c0AQwCdzbWhtQuxgL2S7IXWMu90lSkyuAi8EOu48","1","Permanent Venom","Permanent Venom",""
"permanent-phoenix","Permanent Phoenix","","Bloxhop","Permanent Fruits","Digital Product","blox-fruits, Permanent Fruits","TRUE","Title","Default Title","19.75","25.00","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Phoenix.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9QaG9lbml4LndlYnAiLCJpYXQiOjE3NzU0OTQyNjEsImV4cCI6MTgwNzAzMDI2MX0.0umG68Rp-ToJ0Obl_kmCed82psUuhwZwAxenkKo3qng","1","Permanent Phoenix","Permanent Phoenix",""
"permanent-sound","Permanent Sound","","Bloxhop","Permanent Fruits","Digital Product","blox-fruits, Permanent Fruits","TRUE","Title","Default Title","18.00","23.75","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Sound.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9Tb3VuZC53ZWJwIiwiaWF0IjoxNzc1NDk0MzMwLCJleHAiOjE4MDcwMzAzMzB9.6wYIDdJnOUm_NSKXWbblAUVg8_W-Zk80h_tqUM0g_4U","1","Permanent Sound","Permanent Sound",""
"permanent-spider","Permanent Spider","","Bloxhop","Permanent Fruits","Digital Product","blox-fruits, Permanent Fruits","TRUE","Title","Default Title","18.53","22.50","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Spider.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9TcGlkZXIud2VicCIsImlhdCI6MTc3NTQ5NDM2NSwiZXhwIjoxODA3MDMwMzY1fQ.K7QuqSxwvxiyD_zPrq1Kw20m58EPq9Ri8Bi9SoVoVZQ","1","Permanent Spider","Permanent Spider",""
"permanent-creation","Permanent Creation","","Bloxhop","Permanent Fruits","Digital Product","blox-fruits, Permanent Fruits","TRUE","Title","Default Title","16.69","21.87","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Creation.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9DcmVhdGlvbi53ZWJwIiwiaWF0IjoxNzc1NDk0Mzk5LCJleHAiOjE4MDcwMzAzOTl9.vbXqQXnwzFP22fAFa5L6NhfZi8uuCZWRZZ4E0qB7qto","1","Permanent Creation","Permanent Creation",""
"permanent-love","Permanent Love","","Bloxhop","Permanent Fruits","Digital Product","blox-fruits, Permanent Fruits","TRUE","Title","Default Title","16.33","21.25","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Love.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9Mb3ZlLndlYnAiLCJpYXQiOjE3NzU0OTQ0MzcsImV4cCI6MTgwNzAzMDQzN30.GiLC915VfoWWVc9S4reaIptU33Sy-X1_sFnSvnwI2gQ","1","Permanent Love","Permanent Love",""
"permanent-buddha","Permanent Buddha","","Bloxhop","Permanent Fruits","Digital Product","blox-fruits, Permanent Fruits","TRUE","Title","Default Title","16.20","20.62","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Buddha.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9CdWRkaGEud2VicCIsImlhdCI6MTc3NTQ5NDQ2NywiZXhwIjoxODA3MDMwNDY3fQ.v1iSWrjlYfocPlJ6v5-Gs2di927_QSfcBYZfgkcNhMg","1","Permanent Buddha","Permanent Buddha",""
"permanent-quake","Permanent Quake","","Bloxhop","Permanent Fruits","Digital Product","blox-fruits, Permanent Fruits","TRUE","Title","Default Title","14.50","18.75","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Quake.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9RdWFrZS53ZWJwIiwiaWF0IjoxNzc1NDk0NDk3LCJleHAiOjE4MDcwMzA0OTd9.zwEZyv_p2iuumcVwkE9fPnH-a7V3vGLGU6-YPCONVjA","1","Permanent Quake","Permanent Quake",""
"permanent-blizzard","Permanent Blizzard","","Bloxhop","Permanent Fruits","Digital Product","blox-fruits, Permanent Fruits","TRUE","Title","Default Title","24.50","28.13","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Blizzard.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9CbGl6emFyZC53ZWJwIiwiaWF0IjoxNzc1NDk0NTI1LCJleHAiOjE4MDcwMzA1MjV9.G5U5rBwtaChARw29QakYypVlzE75utupGu9z5AsC_04","1","Permanent Blizzard","Permanent Blizzard",""
"permanent-pain","Permanent Pain","","Bloxhop","Permanent Fruits","Digital Product","blox-fruits, Permanent Fruits","TRUE","Title","Default Title","20.99","27.50","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Pain.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9QYWluLndlYnAiLCJpYXQiOjE3NzU0OTQ1NjQsImV4cCI6MTgwNzAzMDU2NH0.vtiXhcINnliP8pvpWQW4hGNhGnD2i7I1CJgEH9Qb4m4","1","Permanent Pain","Permanent Pain",""
"permanent-lightning","Permanent Lightning","","Bloxhop","Permanent Fruits","Digital Product","blox-fruits, Permanent Fruits","TRUE","Title","Default Title","21.49","26.25","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Lightning.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9MaWdodG5pbmcud2VicCIsImlhdCI6MTc3NTQ5NDU5MywiZXhwIjoxODA3MDMwNTkzfQ.UqaYhKqU6hKxw2IbkSHCQk01FLDv3bBCGdiMXTXczfM","1","Permanent Lightning","Permanent Lightning",""
"permanent-portal","Permanent Portal","","Bloxhop","Permanent Fruits","Digital Product","blox-fruits, Permanent Fruits","TRUE","Title","Default Title","19.75","25.00","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Portal.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9Qb3J0YWwud2VicCIsImlhdCI6MTc3NTQ5NDYzOCwiZXhwIjoxODA3MDMwNjM4fQ.EpGKQznB0Nt9PXfvZqTk8Ad10InBqthl4dRo5IhrQ6A","1","Permanent Portal","Permanent Portal",""
"permanent-rubber","Permanent Rubber","","Bloxhop","Permanent Fruits","Digital Product","blox-fruits, Permanent Fruits","TRUE","Title","Default Title","11.50","15.00","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/RubberIcon2.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9SdWJiZXJJY29uMi53ZWJwIiwiaWF0IjoxNzc2MDkxMTM0LCJleHAiOjE4MDc2MjcxMzR9.J6W4Oqw9Vq7KW9g1rg3ZL6SgZ6OnUgB7259NjbA59Zs","1","Permanent Rubber","Permanent Rubber",""
"permanent-light","Permanent Light","","Bloxhop","Permanent Fruits","Digital Product","blox-fruits, Permanent Fruits","TRUE","Title","Default Title","10.39","13.75","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Light.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9MaWdodC53ZWJwIiwiaWF0IjoxNzc1NDk0NzUxLCJleHAiOjE4MDcwMzA3NTF9.pLUtts3EIttwnUJR9Si0HrQTjmZ7aM9LxP8nG7GCYNY","1","Permanent Light","Permanent Light",""
"permanent-magma","Permanent Magma","","Bloxhop","Permanent Fruits","Digital Product","blox-fruits, Permanent Fruits","TRUE","Title","Default Title","13.00","16.25","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Magma.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9NYWdtYS53ZWJwIiwiaWF0IjoxNzc1NDk0NzkxLCJleHAiOjE4MDcwMzA3OTF9.oeBcqZhxCpUM5DJFUVrVU9R5d7aJ4Qv-5jl2lbb_EjY","1","Permanent Magma","Permanent Magma",""
"2xboss-drops-gamepass","2x Boss Drops","","Bloxhop","Gamepasses","Digital Product","blox-fruits, Gamepasses","TRUE","Title","Default Title","3.49","4.38","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/2xboss_drops.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS8yeGJvc3NfZHJvcHMud2VicCIsImlhdCI6MTc3NjA5NDM5MiwiZXhwIjoxODA3NjMwMzkyfQ.WL-Vw_s5kjR-UJ52RmTiPU4WHHM-zKvc1WwOfHotXzs","1","2x Boss Drops","2x Boss Drops",""
"2xmastery-gamepass","2x Mastery","","Bloxhop","Gamepasses","Digital Product","blox-fruits, Gamepasses","TRUE","Title","Default Title","4.30","5.63","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/2xmastery.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS8yeG1hc3Rlcnkud2VicCIsImlhdCI6MTc3NjA5NDcyOSwiZXhwIjoxODA3NjMwNzI5fQ.BjBwVUFy0NYivuCoJNmPXELHH4BqOfgordYjclL8L4I","1","2x Mastery","2x Mastery",""
"2xmoney-gamepass","2x Money","","Bloxhop","Gamepasses","Digital Product","blox-fruits, Gamepasses","TRUE","Title","Default Title","4.30","5.03","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/2xmoney.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS8yeG1vbmV5LndlYnAiLCJpYXQiOjE3NzYwOTQ4MjYsImV4cCI6MTgwNzYzMDgyNn0.vbMXtji9PM_M-AYGuPJ-7CV71T92mYWLnfu-zl3yGSc","1","2x Money","2x Money",""
"fruit-notifier-gamepass","Fruit Notifier","","Bloxhop","Gamepasses","Digital Product","blox-fruits, Gamepasses","TRUE","Title","Default Title","26.00","33.75","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/fruit_notifier.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9mcnVpdF9ub3RpZmllci53ZWJwIiwiaWF0IjoxNzc2MDk0OTM3LCJleHAiOjE4MDc2MzA5Mzd9.RSJfHxeZp5Zy4D5K2o9Am04NmjQwloZ6vCqbOAAF4HI","1","Fruit Notifier","Fruit Notifier",""
"fast-boat-gamepass","Fast Boat","","Bloxhop","Gamepasses","Digital Product","blox-fruits, Gamepasses","TRUE","Title","Default Title","1.00","2.50","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/fast_boats(4).webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9mYXN0X2JvYXRzKDQpLndlYnAiLCJpYXQiOjE3NzYwOTUwMjksImV4cCI6MTgwNzYzMTAyOX0.d5U0O8slDCIKPdxVtLmL7rfIQkrqMtZY8rq4FcWiU-c","1","Fast Boat","Fast Boat",""
"dark-blade-gamepass","Dark Blade","","Bloxhop","Gamepasses","Digital Product","blox-fruits, Gamepasses","TRUE","Title","Default Title","12.50","15.00","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/dark_blade.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9kYXJrX2JsYWRlLndlYnAiLCJpYXQiOjE3NzYwOTUxNzksImV4cCI6MTgwNzYzMTE3OX0.lQ1-xJV6xtRgIf-8RtIs1V_5KnbydA6jHszvBVeWYug","1","Dark Blade","Dark Blade",""
"permanent-ice","Permanent Ice","","Bloxhop","Permanent Fruits","Digital Product","blox-fruits, Permanent Fruits","TRUE","Title","Default Title","7.50","","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Ice.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9JY2Uud2VicCIsImlhdCI6MTc3ODI0NzI1NiwiZXhwIjoxODA5NzgzMjU2fQ.ZKAv85Yc1tuxM6bFNgbhDaSqzm2hjFtij1PkHlV4u0M","1","Permanent Ice","Permanent Ice",""
"free","free","","Bloxhop","","Digital Product","mm2","TRUE","Title","Default Title","20.00","","","continue","manual","FALSE","TRUE","","1","free","free",""
"pet","pet","","Bloxhop","","Digital Product","pet-simulator","TRUE","Title","Default Title","1.00","","","continue","manual","FALSE","TRUE","","1","pet","pet",""
"pet","pet","","Bloxhop","huge","Digital Product","pet-simulator, huge","TRUE","Title","Default Title","0.50","","10","continue","manual","FALSE","TRUE","","1","pet","pet",""
"raccoon","Raccoon ","","Bloxhop","Super","Digital Product","grow-a-garden-2, Super","TRUE","Title","Default Title","26.99","30.00","10","continue","manual","FALSE","TRUE","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/grow%20a%20garden/Racoon.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJncm93IGEgZ2FyZGVuL1JhY29vbi53ZWJwIiwic2NvcGUiOiJkb3dubG9hZCIsImlhdCI6MTc4MjkyNTQyMSwiZXhwIjoxODE0NDYxNDIxfQ.KuGpSFIuyP06UrkAakC30-LlXtWi7hdVqbjco7fNX7E","1","Raccoon ","Raccoon ",""
