"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Requires Shipping","Variant Taxable","Cost per item","Image Src","Image Position","Status"
"permanent-venom","Permanent Venom","","Bloxhop","Permanent Fruits","Permanent Fruits, blox-fruits","TRUE","Title","Default Title","BH-31","1460.86","1914.68","shopify","10","deny","manual","FALSE","FALSE","153149.50","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Venom.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9WZW5vbS53ZWJwIiwiaWF0IjoxNzc1NDk0MDQzLCJleHAiOjE4MDcwMzAwNDN9.zy5c0AQwCdzbWhtQuxgL2S7IXWMu90lSkyuAi8EOu48","1","active"
"permanent-phoenix","Permanent Phoenix","","Bloxhop","Permanent Fruits","Permanent Fruits, blox-fruits","TRUE","Title","Default Title","BH-32","1234.57","1562.75","shopify","10","deny","manual","FALSE","FALSE","125020.00","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Phoenix.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9QaG9lbml4LndlYnAiLCJpYXQiOjE3NzU0OTQyNjEsImV4cCI6MTgwNzAzMDI2MX0.0umG68Rp-ToJ0Obl_kmCed82psUuhwZwAxenkKo3qng","1","active"
"permanent-sound","Permanent Sound","","Bloxhop","Permanent Fruits","Permanent Fruits, blox-fruits","TRUE","Title","Default Title","BH-33","1125.18","1484.61","shopify","10","deny","manual","FALSE","FALSE","118769.00","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Sound.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9Tb3VuZC53ZWJwIiwiaWF0IjoxNzc1NDk0MzMwLCJleHAiOjE4MDcwMzAzMzB9.6wYIDdJnOUm_NSKXWbblAUVg8_W-Zk80h_tqUM0g_4U","1","active"
"permanent-spider","Permanent Spider","","Bloxhop","Permanent Fruits","Permanent Fruits, blox-fruits","TRUE","Title","Default Title","BH-34","1158.31","1406.48","shopify","10","deny","manual","FALSE","FALSE","112518.00","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Spider.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9TcGlkZXIud2VicCIsImlhdCI6MTc3NTQ5NDM2NSwiZXhwIjoxODA3MDMwMzY1fQ.K7QuqSxwvxiyD_zPrq1Kw20m58EPq9Ri8Bi9SoVoVZQ","1","active"
"permanent-creation","Permanent Creation","","Bloxhop","Permanent Fruits","Permanent Fruits, blox-fruits","TRUE","Title","Default Title","BH-35","1043.29","1367.09","shopify","10","deny","manual","FALSE","FALSE","109392.50","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Creation.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9DcmVhdGlvbi53ZWJwIiwiaWF0IjoxNzc1NDk0Mzk5LCJleHAiOjE4MDcwMzAzOTl9.vbXqQXnwzFP22fAFa5L6NhfZi8uuCZWRZZ4E0qB7qto","1","active"
"permanent-love","Permanent Love","","Bloxhop","Permanent Fruits","Permanent Fruits, blox-fruits","TRUE","Title","Default Title","BH-36","1020.79","1328.34","shopify","10","deny","manual","FALSE","FALSE","106267.00","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Love.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9Mb3ZlLndlYnAiLCJpYXQiOjE3NzU0OTQ0MzcsImV4cCI6MTgwNzAzMDQzN30.GiLC915VfoWWVc9S4reaIptU33Sy-X1_sFnSvnwI2gQ","1","active"
"permanent-buddha","Permanent Buddha","","Bloxhop","Permanent Fruits","Permanent Fruits, blox-fruits","TRUE","Title","Default Title","BH-37","1012.66","1288.96","shopify","10","deny","manual","FALSE","FALSE","103141.50","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Buddha.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9CdWRkaGEud2VicCIsImlhdCI6MTc3NTQ5NDQ2NywiZXhwIjoxODA3MDMwNDY3fQ.v1iSWrjlYfocPlJ6v5-Gs2di927_QSfcBYZfgkcNhMg","1","active"
"permanent-quake","Permanent Quake","","Bloxhop","Permanent Fruits","Permanent Fruits, blox-fruits","TRUE","Title","Default Title","BH-38","906.40","1172.06","shopify","10","deny","manual","FALSE","FALSE","93765.00","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Quake.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9RdWFrZS53ZWJwIiwiaWF0IjoxNzc1NDk0NDk3LCJleHAiOjE4MDcwMzA0OTd9.zwEZyv_p2iuumcVwkE9fPnH-a7V3vGLGU6-YPCONVjA","1","active"
"permanent-blizzard","Permanent Blizzard","","Bloxhop","Permanent Fruits","Permanent Fruits, blox-fruits","TRUE","Title","Default Title","BH-39","1531.50","1758.41","shopify","10","deny","manual","FALSE","FALSE","140647.50","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Blizzard.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9CbGl6emFyZC53ZWJwIiwiaWF0IjoxNzc1NDk0NTI1LCJleHAiOjE4MDcwMzA1MjV9.G5U5rBwtaChARw29QakYypVlzE75utupGu9z5AsC_04","1","active"
"permanent-pain","Permanent Pain","","Bloxhop","Permanent Fruits","Permanent Fruits, blox-fruits","TRUE","Title","Default Title","BH-40","1312.08","1719.03","shopify","10","deny","manual","FALSE","FALSE","137522.00","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Pain.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9QYWluLndlYnAiLCJpYXQiOjE3NzU0OTQ1NjQsImV4cCI6MTgwNzAzMDU2NH0.vtiXhcINnliP8pvpWQW4hGNhGnD2i7I1CJgEH9Qb4m4","1","active"
"permanent-lightning","Permanent Lightning","","Bloxhop","Permanent Fruits","Permanent Fruits, blox-fruits","TRUE","Title","Default Title","BH-41","1343.34","1640.89","shopify","10","deny","manual","FALSE","FALSE","131271.00","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Lightning.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9MaWdodG5pbmcud2VicCIsImlhdCI6MTc3NTQ5NDU5MywiZXhwIjoxODA3MDMwNTkzfQ.UqaYhKqU6hKxw2IbkSHCQk01FLDv3bBCGdiMXTXczfM","1","active"
"permanent-portal","Permanent Portal","","Bloxhop","Permanent Fruits","Permanent Fruits, blox-fruits","TRUE","Title","Default Title","BH-43","1234.57","1562.75","shopify","10","deny","manual","FALSE","FALSE","125020.00","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Portal.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9Qb3J0YWwud2VicCIsImlhdCI6MTc3NTQ5NDYzOCwiZXhwIjoxODA3MDMwNjM4fQ.EpGKQznB0Nt9PXfvZqTk8Ad10InBqthl4dRo5IhrQ6A","1","active"
"permanent-rubber","Permanent Rubber","","Bloxhop","Permanent Fruits","Permanent Fruits, blox-fruits","TRUE","Title","Default Title","BH-44","718.87","937.65","shopify","10","deny","manual","FALSE","FALSE","75012.00","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/RubberIcon2.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9SdWJiZXJJY29uMi53ZWJwIiwiaWF0IjoxNzc2MDkxMTM0LCJleHAiOjE4MDc2MjcxMzR9.J6W4Oqw9Vq7KW9g1rg3ZL6SgZ6OnUgB7259NjbA59Zs","1","active"
"permanent-light","Permanent Light","","Bloxhop","Permanent Fruits","Permanent Fruits, blox-fruits","TRUE","Title","Default Title","BH-45","649.48","859.51","shopify","10","deny","manual","FALSE","FALSE","68761.00","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Light.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9MaWdodC53ZWJwIiwiaWF0IjoxNzc1NDk0NzUxLCJleHAiOjE4MDcwMzA3NTF9.pLUtts3EIttwnUJR9Si0HrQTjmZ7aM9LxP8nG7GCYNY","1","active"
"permanent-magma","Permanent Magma","","Bloxhop","Permanent Fruits","Permanent Fruits, blox-fruits","TRUE","Title","Default Title","BH-46","812.63","1015.79","shopify","10","deny","manual","FALSE","FALSE","81263.00","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Magma.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9NYWdtYS53ZWJwIiwiaWF0IjoxNzc1NDk0NzkxLCJleHAiOjE4MDcwMzA3OTF9.oeBcqZhxCpUM5DJFUVrVU9R5d7aJ4Qv-5jl2lbb_EjY","1","active"
"2xboss-drops-gamepass","2x Boss Drops","","Bloxhop","Gamepasses","Gamepasses, blox-fruits","TRUE","Title","Default Title","BH-49","218.16","273.79","shopify","10","deny","manual","FALSE","FALSE","21878.50","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/2xboss_drops.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS8yeGJvc3NfZHJvcHMud2VicCIsImlhdCI6MTc3NjA5NDM5MiwiZXhwIjoxODA3NjMwMzkyfQ.WL-Vw_s5kjR-UJ52RmTiPU4WHHM-zKvc1WwOfHotXzs","1","active"
"2xmastery-gamepass","2x Mastery","","Bloxhop","Gamepasses","Gamepasses, blox-fruits","TRUE","Title","Default Title","BH-50","268.79","351.93","shopify","10","deny","manual","FALSE","FALSE","28129.50","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/2xmastery.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS8yeG1hc3Rlcnkud2VicCIsImlhdCI6MTc3NjA5NDcyOSwiZXhwIjoxODA3NjMwNzI5fQ.BjBwVUFy0NYivuCoJNmPXELHH4BqOfgordYjclL8L4I","1","active"
"2xmoney-gamepass","2x Money","","Bloxhop","Gamepasses","Gamepasses, blox-fruits","TRUE","Title","Default Title","BH-51","268.79","314.43","shopify","10","deny","manual","FALSE","FALSE","28129.50","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/2xmoney.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS8yeG1vbmV5LndlYnAiLCJpYXQiOjE3NzYwOTQ4MjYsImV4cCI6MTgwNzYzMDgyNn0.vbMXtji9PM_M-AYGuPJ-7CV71T92mYWLnfu-zl3yGSc","1","active"
"fruit-notifier-gamepass","Fruit Notifier","","Bloxhop","Gamepasses","Gamepasses, blox-fruits","TRUE","Title","Default Title","BH-52","1625.26","2109.71","shopify","10","deny","manual","FALSE","FALSE","168777.00","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/fruit_notifier.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9mcnVpdF9ub3RpZmllci53ZWJwIiwiaWF0IjoxNzc2MDk0OTM3LCJleHAiOjE4MDc2MzA5Mzd9.RSJfHxeZp5Zy4D5K2o9Am04NmjQwloZ6vCqbOAAF4HI","1","active"
"fast-boat-gamepass","Fast Boat","","Bloxhop","Gamepasses","Gamepasses, blox-fruits","TRUE","Title","Default Title","BH-53","218.16","273.79","shopify","10","deny","manual","FALSE","FALSE","21878.50","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/fast_boats(4).webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9mYXN0X2JvYXRzKDQpLndlYnAiLCJpYXQiOjE3NzYwOTUwMjksImV4cCI6MTgwNzYzMTAyOX0.d5U0O8slDCIKPdxVtLmL7rfIQkrqMtZY8rq4FcWiU-c","1","active"
"dark-blade-gamepass","Dark Blade","","Bloxhop","Gamepasses","Gamepasses, blox-fruits","TRUE","Title","Default Title","BH-54","781.38","937.65","shopify","10","deny","manual","FALSE","FALSE","75012.00","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/dark_blade.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9kYXJrX2JsYWRlLndlYnAiLCJpYXQiOjE3NzYwOTUxNzksImV4cCI6MTgwNzYzMTE3OX0.lQ1-xJV6xtRgIf-8RtIs1V_5KnbydA6jHszvBVeWYug","1","active"
"permanent-ice","Permanent Ice","","Bloxhop","Permanent Fruits","Permanent Fruits, blox-fruits","TRUE","Title","Default Title","BH-56","468.83","","shopify","10","deny","manual","FALSE","FALSE","","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/SIGMA/Ice.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJTSUdNQS9JY2Uud2VicCIsImlhdCI6MTc3ODI0NzI1NiwiZXhwIjoxODA5NzgzMjU2fQ.ZKAv85Yc1tuxM6bFNgbhDaSqzm2hjFtij1PkHlV4u0M","1","active"
"free","free","","Bloxhop","","mm2","TRUE","Title","Default Title","BH-57","1250.20","","shopify","","deny","manual","FALSE","FALSE","","","","active"
"pet","pet","","Bloxhop","","pet-simulator","TRUE","Title","Default Title","BH-58","62.51","","shopify","","deny","manual","FALSE","FALSE","","","","active"
"pet","pet","","Bloxhop","huge","huge, pet-simulator","TRUE","Title","Default Title","BH-59","31.26","","shopify","10","deny","manual","FALSE","FALSE","","","","active"
"raccoon","Raccoon ","","Bloxhop","Super","Super, grow-a-garden-2","TRUE","Title","Default Title","BH-60","1687.14","1875.30","shopify","10","deny","manual","FALSE","FALSE","125020.00","https://enkkrsrdiwuztnxlykgu.supabase.co/storage/v1/object/sign/grow%20a%20garden/Racoon.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8xN2IwYWM1NS1lNmYxLTQ2MWUtYmJlOS01NWM5NjgzM2Y1YmIiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJncm93IGEgZ2FyZGVuL1JhY29vbi53ZWJwIiwic2NvcGUiOiJkb3dubG9hZCIsImlhdCI6MTc4MjkyNTQyMSwiZXhwIjoxODE0NDYxNDIxfQ.KuGpSFIuyP06UrkAakC30-LlXtWi7hdVqbjco7fNX7E","1","active"
